source_id	status	path	size_bytes
clingen_erepo	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\clingen_erepo\clingen_erepo_classifications.tsv	29666864
uniprot	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\uniprot\target_gene_features.tsv	920
alphafold_db	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\alphafold\target_gene_models.tsv	1359
pdb	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\pdb\target_gene_structures.tsv	3645
civic	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\civic\target_gene_civic.tsv	4781
cbioportal	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\cbioportal\brca_tcga_pan_can_mutations.tsv	52797
gdc	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gdc\target_gene_metadata.tsv	953
gwas_catalog	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gwas_catalog\target_gene_associations.tsv	6522
opentargets	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\opentargets\target_disease_associations.tsv	3501
pharmgkb	retained_existing	C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\pharmgkb\target_gene_pharmgkb.tsv	820
