cohort,experiment,baseline_experiment,feature_set,delta_mean,ci_lower_95,ci_upper_95,supported_gain
bridges_like_external_validation_brca1,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,-0.04369020317032522,-0.16714371649610127,0.09037225854434744,False
bridges_like_external_validation_brca1,hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,False
bridges_like_external_validation_brca1,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,False
bridges_like_external_validation_brca1,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,False
bridges_like_external_validation_brca1,prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,-0.09071445231711676,-0.2481353577717435,0.040563165905631665,False
bridges_like_external_validation_brca2,hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,0.5174950511338897,0.3516075818744096,0.7461070484565028,True
bridges_like_external_validation_brca2,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,0.5174950511338897,0.3516075818744096,0.7461070484565028,True
bridges_like_external_validation_brca2,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,0.5174950511338897,0.3516075818744096,0.7461070484565028,True
bridges_like_external_validation_brca2,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,0.4978778532168492,0.32218304801832226,0.7317586184980389,True
bridges_like_external_validation_brca2,prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,0.3131297680919977,0.06145409135197939,0.5593388246800526,True
clinvar_expert_external_validation_brca1,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,0.02291554990361126,-0.08009362243942629,0.09428736314605875,False
clinvar_expert_external_validation_brca1,hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,False
clinvar_expert_external_validation_brca1,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,False
clinvar_expert_external_validation_brca1,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,False
clinvar_expert_external_validation_brca1,prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,-0.06971311626492079,-0.1763997126250863,0.026646228841298133,False
clinvar_expert_external_validation_brca2,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,0.1376409809934554,0.049111827508566616,0.24205424719285693,True
clinvar_expert_external_validation_brca2,hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,0.1374176714965098,0.049111827508566616,0.24174578655830933,True
clinvar_expert_external_validation_brca2,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,0.1374176714965098,0.049111827508566616,0.24174578655830933,True
clinvar_expert_external_validation_brca2,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,0.1263221596487772,0.040274185518750734,0.22223357539492933,True
clinvar_expert_external_validation_brca2,prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,0.0035220381837968995,-0.11603579266478208,0.15085702135477777,False
