experiment,baseline_experiment,feature_set,is_prime_signal,cohort,is_high_confidence_clinical_cohort,metric,candidate_value,baseline_value,delta_value,win,no_regression,substantial_loss
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca1,False,auc_roc,0.5562034337544541,0.5903790087463556,-0.03417557499190149,False,False,True
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca1,False,auc_pr,0.17111457570808009,0.17824207440444303,-0.007127498696362949,False,False,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca1,False,mcc,0.0045544499986024155,0.09234734153247869,-0.08779289153387627,False,False,True
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca2,False,auc_roc,0.7316301703163017,0.278345498783455,0.45328467153284674,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca2,False,auc_pr,0.1392478861978139,0.04124243893526938,0.09800544726254451,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca2,False,mcc,0.1043896803691688,-0.14225790931127463,0.24664758968044342,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,clinvar_expert_external_validation_brca1,True,auc_roc,0.777133655394525,0.7419216317767042,0.03521202361782072,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,clinvar_expert_external_validation_brca1,True,auc_pr,0.6709508256664461,0.5879490534893914,0.08300177217705473,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,clinvar_expert_external_validation_brca1,True,mcc,0.39014237651170935,0.06200865735715771,0.32813371915455164,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,clinvar_expert_external_validation_brca2,True,auc_roc,0.7624434389140272,0.6515837104072398,0.11085972850678738,True,True,False
