experiment,baseline_experiment,feature_set,is_prime_signal,metric,n_external_cohorts,aggregate_delta_mean,aggregate_ci_lower_95,aggregate_ci_upper_95,aggregate_supported,aggregate_positive,aggregate_directional_confidence_percent
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,auc_pr,4,0.12416687949722167,0.05803658636946972,0.19029717262497364,True,True,100
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,auc_roc,4,0.08382869980444231,0.026657112844101848,0.14100028676478277,True,True,100
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,auc_pr,4,0.12344437860866925,0.05893807991753451,0.18795067729980397,True,True,100
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,auc_roc,4,0.07949009212858349,0.022599110878499397,0.1363810733786676,True,True,100
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,auc_pr,4,0.12797757822080988,0.07078239607513193,0.18517276036648783,True,True,100
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,auc_roc,4,0.15036491812254474,0.098169749282941,0.20256008696214847,True,True,100
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,auc_pr,4,0.12273296034234586,0.058291204262843344,0.18717471642184838,True,True,100
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,auc_roc,4,0.08168187565382802,0.02471961113241085,0.13864414017524518,True,True,100
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,auc_pr,4,0.12273296034234586,0.058291204262843344,0.18717471642184838,True,True,100
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,auc_roc,4,0.08168187565382802,0.02471961113241085,0.13864414017524518,True,True,100
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,auc_pr,4,0.12175508618023459,0.05696091478029493,0.18654925758017427,True,True,100
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,auc_roc,4,0.08169746672011292,0.02470334959637436,0.1386915838438515,True,True,100
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,auc_pr,4,0.11210703306546602,0.050346739597081046,0.17386732653385098,True,True,100
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,auc_roc,4,0.08175526370486012,0.027242698387924896,0.13626782902179535,True,True,100
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,auc_pr,4,0.024797380080063394,-0.017107995104111172,0.06670275526423797,False,True,88
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,auc_roc,4,-0.02699792356147175,-0.0948346225371578,0.040838775414214296,False,False,22
