experiment,baseline_experiment,feature_set,is_prime_signal,cohort,cohort_role,is_high_confidence_clinical_cohort,has_auc_roc,auc_roc_delta_mean,auc_roc_ci_lower_95,auc_roc_ci_upper_95,auc_roc_supported,auc_roc_positive,auc_roc_no_regression,auc_roc_substantial_loss,has_auc_pr,auc_pr_delta_mean,auc_pr_ci_lower_95,auc_pr_ci_upper_95,auc_pr_supported,auc_pr_positive,auc_pr_no_regression,auc_pr_substantial_loss,available_pairwise_metrics,cross_metric_supported,cross_metric_positive,cross_metric_no_regression,cross_metric_substantial_loss
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca1,external_test,False,True,-0.024367205883110244,-0.14957510964912282,0.1150003626162494,False,False,True,False,True,-0.01565197555104436,-0.13613043305662034,0.10025776584817231,False,False,True,False,2,False,False,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca2,external_test,False,True,0.5084673490712334,0.3320687829769509,0.7468166889115699,True,True,True,False,True,0.19800369205592347,0.04471012215428523,0.3894032092625107,True,True,True,False,2,True,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca1,external_test,True,True,-0.005595741212213345,-0.11260521289742718,0.07844560811952109,False,False,True,False,True,0.04694118962453515,-0.10977747353766927,0.16299141030989991,False,True,True,False,2,False,False,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca2,external_test,True,True,0.13650311305045976,0.04690655919877987,0.23263543671399675,True,True,True,False,True,0.29177416047253196,0.1991083711080334,0.4387465521392966,True,True,True,False,2,True,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca1,external_test,False,True,-0.04681825372471325,-0.16190012639085127,0.09319912344045464,False,False,True,False,True,-0.009520076211803712,-0.14524896511924068,0.11283807943865312,False,False,True,False,2,False,False,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca2,external_test,False,True,0.5122856286716614,0.3432345729332453,0.7446947774948873,True,True,True,False,True,0.15119704710779885,0.03434125309303624,0.29196405505095496,True,True,True,False,2,True,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca1,external_test,True,True,0.007627507043993687,-0.10109395948020822,0.08311638713812625,False,True,True,False,True,0.04148603314670242,-0.12593998194340777,0.1548552872333782,False,True,True,False,2,False,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca2,external_test,True,True,0.131906397429333,0.040488165318328356,0.23585008557567558,True,True,True,False,True,0.274591324419307,0.18315401499001946,0.4234547082084423,True,True,True,False,2,True,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca1,external_test,False,True,-0.007093133475610474,-0.14437988453726597,0.1358676799026221,False,False,True,False,True,-0.04114664851235507,-0.16677515760935596,0.06195685409676597,False,False,True,False,2,False,False,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca2,external_test,False,True,0.4741376789682697,0.2824951679147981,0.6583385674282274,True,True,True,False,True,0.10964153294996856,0.02288106354688395,0.20890070293043533,True,True,True,False,2,True,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca1,external_test,True,True,0.17035122907822187,0.09176560686065241,0.22917085354585345,True,True,True,False,True,0.24310517594107384,0.10734150682655642,0.37574317490449305,True,True,True,False,2,True,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca2,external_test,True,True,0.07948905035760087,-0.03051840491441328,0.1989689211219418,False,True,True,False,True,0.2769522979801008,0.14904897566246578,0.411404459124687,True,True,True,False,2,False,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,bridges_like_external_validation_brca1,external_test,False,True,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,False,False,True,False,True,-0.009957952639857269,-0.14337856675303867,0.11214111670278927,False,False,True,False,2,False,False,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,bridges_like_external_validation_brca2,external_test,False,True,0.5174950511338897,0.3516075818744096,0.7461070484565028,True,True,True,False,True,0.1562820320949045,0.03857018249127152,0.29450778464845206,True,True,True,False,2,True,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca1,external_test,True,True,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,False,False,True,False,True,0.03458828412146715,-0.12938195031902944,0.1501111085509183,False,True,True,False,2,False,False,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca2,external_test,True,True,0.1374176714965098,0.049111827508566616,0.24174578655830933,True,True,True,False,True,0.2802207983772835,0.18468970758302017,0.42853873692295297,True,True,True,False,2,True,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca1,external_test,False,True,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,False,False,True,False,True,-0.009957952639857269,-0.14337856675303867,0.11214111670278927,False,False,True,False,2,False,False,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca2,external_test,False,True,0.5174950511338897,0.3516075818744096,0.7461070484565028,True,True,True,False,True,0.1562820320949045,0.03857018249127152,0.29450778464845206,True,True,True,False,2,True,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca1,external_test,True,True,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,False,False,True,False,True,0.03458828412146715,-0.12938195031902944,0.1501111085509183,False,True,True,False,2,False,False,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca2,external_test,True,True,0.1374176714965098,0.049111827508566616,0.24174578655830933,True,True,True,False,True,0.2802207983772835,0.18468970758302017,0.42853873692295297,True,True,True,False,2,True,True,True,False
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,bridges_like_external_validation_brca1,external_test,False,True,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,False,False,True,False,True,-0.009957952639857269,-0.14337856675303867,0.11214111670278927,False,False,True,False,2,False,False,True,False
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,bridges_like_external_validation_brca2,external_test,False,True,0.5174950511338897,0.3516075818744096,0.7461070484565028,True,True,True,False,True,0.1562820320949045,0.03857018249127152,0.29450778464845206,True,True,True,False,2,True,True,True,False
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,clinvar_expert_external_validation_brca1,external_test,True,True,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,False,False,True,False,True,0.03458828412146715,-0.12938195031902944,0.1501111085509183,False,True,True,False,2,False,False,True,False
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,clinvar_expert_external_validation_brca2,external_test,True,True,0.1376409809934554,0.049111827508566616,0.24205424719285693,True,True,True,False,True,0.28298137819041713,0.18548802691075125,0.4342144125986286,True,True,True,False,2,True,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca1,external_test,False,True,-0.04369020317032522,-0.16714371649610127,0.09037225854434744,False,False,True,False,True,-0.007942183708850383,-0.1477723825184655,0.11391166068167102,False,False,True,False,2,False,False,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,bridges_like_external_validation_brca2,external_test,False,True,0.4978778532168492,0.32218304801832226,0.7317586184980389,True,True,True,False,True,0.14068644210033118,0.030203587016204774,0.27420186625313026,True,True,True,False,2,True,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,clinvar_expert_external_validation_brca1,external_test,True,True,0.02291554990361126,-0.08009362243942629,0.09428736314605875,False,True,True,False,True,0.054621708680075945,-0.10064975639277855,0.16392522655276623,False,True,True,False,2,False,True,True,False
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,clinvar_expert_external_validation_brca2,external_test,True,True,0.1263221596487772,0.040274185518750734,0.22223357539492933,True,True,True,False,True,0.2175767373642378,0.1221450016220856,0.3465577586712239,True,True,True,False,2,True,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca1,external_test,False,True,-0.09071445231711676,-0.2481353577717435,0.040563165905631665,False,False,True,False,True,-0.04266453583406595,-0.1686176177512603,0.08989522912429171,False,False,True,False,2,False,False,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca2,external_test,False,True,0.3131297680919977,0.06145409135197939,0.5593388246800526,True,True,True,False,True,0.03751819386234652,0.0008675737432001316,0.11144217576781063,True,True,True,False,2,True,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca1,external_test,True,True,-0.06971311626492079,-0.1763997126250863,0.026646228841298133,False,False,True,False,True,-0.043288858523757245,-0.1850543206181648,0.0819387628929313,False,False,True,False,2,False,False,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca2,external_test,True,True,0.0035220381837968995,-0.11603579266478208,0.15085702135477777,False,True,True,False,True,0.05405817000440559,-0.014225806012211142,0.163709964380344,False,True,True,False,2,False,True,True,False
