experiment,baseline_experiment,feature_set,is_prime_signal,n_external_cohorts,n_variants,n_high_confidence_clinical_cohorts,n_high_confidence_clinical_variants,metric,pooled_candidate_value,pooled_baseline_value,pooled_delta_mean,pooled_observed_delta,pooled_ci_lower_95,pooled_ci_upper_95,pooled_supported_gain,pooled_positive_gain,pooled_directional_confidence_percent,n_bootstrap_valid
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,4,836,2,379,auc_pr,0.4334529736018793,0.18092430224501593,0.25389807505560674,0.25252867135686335,0.1883599923380238,0.32493155566213683,True,True,100,400
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,4,836,2,379,auc_pr,0.42988848078007796,0.18092430224501593,0.25227653033889075,0.24896417853506203,0.18275649611306796,0.3283925395689182,True,True,100,400
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,4,836,2,379,auc_pr,0.4205720606313723,0.18092430224501593,0.24110894606658675,0.23964775838635638,0.17708082171125253,0.312375479835198,True,True,100,400
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,4,836,2,379,auc_pr,0.4178618094098949,0.18092430224501593,0.23826547098532916,0.236937507164879,0.17435716539575744,0.3113908531904107,True,True,100,400
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,4,836,2,379,auc_pr,0.4177725949395385,0.18092430224501593,0.23817115484019977,0.23684829269452257,0.17435224034376065,0.3109981482829885,True,True,100,400
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,4,836,2,379,auc_pr,0.4177725949395385,0.18092430224501593,0.23817115484019977,0.23684829269452257,0.17435224034376065,0.3109981482829885,True,True,100,400
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,4,836,2,379,auc_pr,0.41269025321670444,0.18092430224501593,0.2340638704194599,0.2317659509716885,0.17498808437413282,0.3079670270436928,True,True,100,400
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,4,836,2,379,auc_pr,0.25889423985530835,0.18092430224501593,0.08169626923880262,0.07796993761029242,0.03768080493071034,0.13011832633335657,True,True,100,400
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,4,836,2,379,auc_roc,0.7663475433526011,0.5429812941554271,0.22101088330924856,0.22336624919717407,0.16363512062459862,0.2843737455844574,True,True,100,400
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,4,836,2,379,auc_roc,0.7648221740526654,0.5429812941554271,0.2200777486753372,0.22184087989723833,0.16237217505619791,0.28416952673410395,True,True,100,400
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,4,836,2,379,auc_roc,0.7644910083493899,0.5429812941554271,0.21946401332691073,0.22150971419396281,0.16402235870263335,0.2826454118497109,True,True,100,400
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,4,836,2,379,auc_roc,0.7628452151573539,0.5429812941554271,0.2178311907915864,0.21986392100192687,0.16162554692517672,0.28169381221901096,True,True,100,400
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,4,836,2,379,auc_roc,0.7611191393705845,0.5429812941554271,0.21605983060372513,0.21813784521515744,0.15892203054752738,0.27999759152215786,True,True,100,400
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,4,836,2,379,auc_roc,0.7611191393705844,0.5429812941554271,0.21605744721419398,0.21813784521515733,0.15888264189948617,0.27999759152215786,True,True,100,400
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,4,836,2,379,auc_roc,0.7611191393705844,0.5429812941554271,0.21605744721419398,0.21813784521515733,0.15888264189948617,0.27999759152215786,True,True,100,400
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,4,836,2,379,auc_roc,0.6264651573538856,0.5429812941554271,0.08326827934328838,0.08348386319845857,0.019164208012202956,0.1506956988599872,True,True,100,400
