cohort_scope,metric_id,metric_category,n_cohorts,n_variants,delta_mean,ci_lower_95,ci_upper_95,positive_direction_confidence_percent,direction_confidence_percent,supported_gain,support_percent
all_external,brier_improvement,calibration,4,836,0.06803064697159619,0.0530816871770943,0.08120150847582429,100,100,True,100
all_external,ece_improvement,calibration,4,836,0.13772721779272895,0.12170348035086517,0.1515307694292318,100,100,True,100
all_external,score_separation,calibration,4,836,0.2643073846248505,0.21724675634762466,0.3135717958220544,100,100,True,100
all_external,auc_pr,discrimination,4,836,0.2317659509716885,0.16755805649304198,0.30610838771869403,100,100,True,100
all_external,auc_roc,discrimination,4,836,0.22150971419396281,0.15788212006262037,0.2840607689065511,100,100,True,100
all_external,mcc,discrimination,4,836,0.3042627247185697,0.2067477866426398,0.398561286646068,100,100,True,100
high_confidence_clinical,brier_improvement,calibration,2,379,0.044462107877132145,0.01972458525324462,0.06485419350258653,100,100,True,100
high_confidence_clinical,ece_improvement,calibration,2,379,0.06142250737777613,0.02873547619783644,0.07933994496521347,100,100,True,100
high_confidence_clinical,score_separation,calibration,2,379,0.26160864172565557,0.20222856084067825,0.317587577226343,100,100,True,100
high_confidence_clinical,auc_pr,discrimination,2,379,0.18472426753637017,0.09945640066618591,0.27101210362192757,100,100,True,100
high_confidence_clinical,auc_roc,discrimination,2,379,0.08763837638376393,0.021552548858822018,0.15008029246959112,100,100,True,100
high_confidence_clinical,mcc,discrimination,2,379,0.3493999629598663,0.2071748187481339,0.47597559127852335,100,100,True,100
