cohort,cohort_role,experiment,feature_set,model_family,auc_roc,auc_pr,mcc,n_variants
bridges_like_external_validation_brca1,external_test,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0.5903790087463556,0.17824207440444303,0.09234734153247869,168
bridges_like_external_validation_brca1,external_test,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0.5863297700032394,0.14994246672909636,0.025776963111323353,168
bridges_like_external_validation_brca1,external_test,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0.5730482669258179,0.16742398119135238,0.0868885276965171,168
bridges_like_external_validation_brca1,external_test,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0.5562034337544541,0.17111457570808009,0.0045544499986024155,168
bridges_like_external_validation_brca1,external_test,consensus_top3,consensus,ensemble_mean,0.5519922254616132,0.16942742251752685,0.027190828690444133,168
bridges_like_external_validation_brca1,external_test,hybrid__logistic_regression,hybrid,logistic_regression,0.5503725299643667,0.16928443382560593,0.018080492721836983,168
bridges_like_external_validation_brca1,external_test,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0.5503725299643667,0.16928443382560593,0.018080492721836983,168
bridges_like_external_validation_brca1,external_test,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0.5503725299643667,0.16928443382560593,0.018080492721836983,168
bridges_like_external_validation_brca1,external_test,prime_only__logistic_regression,prime_only,logistic_regression,0.49643666990605767,0.14369474011111316,0.009634555216934666,168
bridges_like_external_validation_brca2,external_test,hybrid__logistic_regression,hybrid,logistic_regression,0.7508515815085158,0.15387069170403503,0.1612225335927086,289
bridges_like_external_validation_brca2,external_test,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0.7508515815085158,0.15387069170403503,0.1612225335927086,289
bridges_like_external_validation_brca2,external_test,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0.7508515815085158,0.15387069170403503,0.1612225335927086,289
bridges_like_external_validation_brca2,external_test,consensus_top3,consensus,ensemble_mean,0.7454987834549879,0.14813867740418019,0.15663223724807285,289
bridges_like_external_validation_brca2,external_test,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0.7386861313868613,0.16645740380173638,0.09708506565355574,289
bridges_like_external_validation_brca2,external_test,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0.7316301703163017,0.1392478861978139,0.1043896803691688,289
bridges_like_external_validation_brca2,external_test,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0.7102189781021898,0.11593516897936992,0.15898910572265523,289
bridges_like_external_validation_brca2,external_test,prime_only__logistic_regression,prime_only,logistic_regression,0.544403892944039,0.0631176222239887,0.0022979809129659292,289
bridges_like_external_validation_brca2,external_test,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0.278345498783455,0.04124243893526938,-0.14225790931127463,289
clinvar_expert_external_validation_brca1,external_test,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0.9222758990874933,0.8639601935165352,0.6170049627462652,204
clinvar_expert_external_validation_brca1,external_test,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0.777133655394525,0.6709508256664461,0.39014237651170935,204
clinvar_expert_external_validation_brca1,external_test,consensus_top3,consensus,ensemble_mean,0.7619967793880837,0.6575999570435216,0.36249284010932925,204
clinvar_expert_external_validation_brca1,external_test,hybrid__logistic_regression,hybrid,logistic_regression,0.753623188405797,0.6495695399548338,0.3350899487423118,204
clinvar_expert_external_validation_brca1,external_test,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0.753623188405797,0.6495695399548338,0.3350899487423118,204
clinvar_expert_external_validation_brca1,external_test,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0.753623188405797,0.6495695399548338,0.3350899487423118,204
clinvar_expert_external_validation_brca1,external_test,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0.7524422973698336,0.666611669120838,0.314789338355404,204
clinvar_expert_external_validation_brca1,external_test,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0.7419216317767042,0.5879490534893914,0.06200865735715771,204
clinvar_expert_external_validation_brca1,external_test,prime_only__logistic_regression,prime_only,logistic_regression,0.6842726784755769,0.5632985982509401,0.26206801270714214,204
clinvar_expert_external_validation_brca2,external_test,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0.776395173453997,0.5427379652878778,0.41733498418122483,175
clinvar_expert_external_validation_brca2,external_test,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0.7711161387631976,0.5287761488852242,0.37311463046757165,175
clinvar_expert_external_validation_brca2,external_test,hybrid__logistic_regression,hybrid,logistic_regression,0.7709276018099547,0.5262120463211216,0.37311463046757165,175
clinvar_expert_external_validation_brca2,external_test,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0.7709276018099547,0.5262120463211216,0.37311463046757165,175
clinvar_expert_external_validation_brca2,external_test,consensus_top3,consensus,ensemble_mean,0.7664027149321267,0.5222227345372227,0.37311463046757165,175
clinvar_expert_external_validation_brca2,external_test,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0.7624434389140272,0.4667915112448001,0.37311463046757165,175
clinvar_expert_external_validation_brca2,external_test,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0.6998491704374057,0.5100169074867793,0.21380148042918315,175
clinvar_expert_external_validation_brca2,external_test,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0.6515837104072398,0.2709036110182074,0.08684168428648435,175
clinvar_expert_external_validation_brca2,external_test,prime_only__logistic_regression,prime_only,logistic_regression,0.6381033182503771,0.30588142719741307,0.17142473230689767,175
