cohort,cohort_role,experiment,baseline_experiment,delta_mean,ci_lower_95,ci_upper_95,n_bootstrap_valid
bridges_like_external_validation_brca1,external_test,gene_balanced_specialist,external_predictors_only__logistic_regression,-0.007093133475610474,-0.14437988453726597,0.1358676799026221,20
bridges_like_external_validation_brca1,external_test,biochemical_only__logistic_regression,external_predictors_only__logistic_regression,-0.024367205883110244,-0.14957510964912282,0.1150003626162494,20
bridges_like_external_validation_brca1,external_test,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,-0.04369020317032522,-0.16714371649610127,0.09037225854434744,20
bridges_like_external_validation_brca1,external_test,consensus_top3,external_predictors_only__logistic_regression,-0.04681825372471325,-0.16190012639085127,0.09319912344045464,20
bridges_like_external_validation_brca1,external_test,hybrid__logistic_regression,external_predictors_only__logistic_regression,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,20
bridges_like_external_validation_brca1,external_test,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,20
bridges_like_external_validation_brca1,external_test,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,-0.04858594103856873,-0.16529487979070998,0.09590714868433176,20
bridges_like_external_validation_brca1,external_test,prime_only__logistic_regression,external_predictors_only__logistic_regression,-0.09071445231711676,-0.2481353577717435,0.040563165905631665,20
bridges_like_external_validation_brca2,external_test,hybrid__logistic_regression,external_predictors_only__logistic_regression,0.5174950511338897,0.3516075818744096,0.7461070484565028,20
bridges_like_external_validation_brca2,external_test,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,0.5174950511338897,0.3516075818744096,0.7461070484565028,20
bridges_like_external_validation_brca2,external_test,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,0.5174950511338897,0.3516075818744096,0.7461070484565028,20
bridges_like_external_validation_brca2,external_test,consensus_top3,external_predictors_only__logistic_regression,0.5122856286716614,0.3432345729332453,0.7446947774948873,20
bridges_like_external_validation_brca2,external_test,biochemical_only__logistic_regression,external_predictors_only__logistic_regression,0.5084673490712334,0.3320687829769509,0.7468166889115699,20
bridges_like_external_validation_brca2,external_test,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,0.4978778532168492,0.32218304801832226,0.7317586184980389,20
bridges_like_external_validation_brca2,external_test,gene_balanced_specialist,external_predictors_only__logistic_regression,0.4741376789682697,0.2824951679147981,0.6583385674282274,20
bridges_like_external_validation_brca2,external_test,prime_only__logistic_regression,external_predictors_only__logistic_regression,0.3131297680919977,0.06145409135197939,0.5593388246800526,20
clinvar_expert_external_validation_brca1,external_test,gene_balanced_specialist,external_predictors_only__logistic_regression,0.17035122907822187,0.09176560686065241,0.22917085354585345,20
clinvar_expert_external_validation_brca1,external_test,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,0.02291554990361126,-0.08009362243942629,0.09428736314605875,20
clinvar_expert_external_validation_brca1,external_test,consensus_top3,external_predictors_only__logistic_regression,0.007627507043993687,-0.10109395948020822,0.08311638713812625,20
clinvar_expert_external_validation_brca1,external_test,hybrid__logistic_regression,external_predictors_only__logistic_regression,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,20
clinvar_expert_external_validation_brca1,external_test,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,20
clinvar_expert_external_validation_brca1,external_test,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,-0.0007840542158798813,-0.10920683069318057,0.07643189898624675,20
clinvar_expert_external_validation_brca1,external_test,biochemical_only__logistic_regression,external_predictors_only__logistic_regression,-0.005595741212213345,-0.11260521289742718,0.07844560811952109,20
clinvar_expert_external_validation_brca1,external_test,prime_only__logistic_regression,external_predictors_only__logistic_regression,-0.06971311626492079,-0.1763997126250863,0.026646228841298133,20
clinvar_expert_external_validation_brca2,external_test,hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,0.1376409809934554,0.049111827508566616,0.24205424719285693,20
clinvar_expert_external_validation_brca2,external_test,hybrid__logistic_regression,external_predictors_only__logistic_regression,0.1374176714965098,0.049111827508566616,0.24174578655830933,20
clinvar_expert_external_validation_brca2,external_test,hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,0.1374176714965098,0.049111827508566616,0.24174578655830933,20
clinvar_expert_external_validation_brca2,external_test,biochemical_only__logistic_regression,external_predictors_only__logistic_regression,0.13650311305045976,0.04690655919877987,0.23263543671399675,20
clinvar_expert_external_validation_brca2,external_test,consensus_top3,external_predictors_only__logistic_regression,0.131906397429333,0.040488165318328356,0.23585008557567558,20
clinvar_expert_external_validation_brca2,external_test,hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,0.1263221596487772,0.040274185518750734,0.22223357539492933,20
clinvar_expert_external_validation_brca2,external_test,gene_balanced_specialist,external_predictors_only__logistic_regression,0.07948905035760087,-0.03051840491441328,0.1989689211219418,20
clinvar_expert_external_validation_brca2,external_test,prime_only__logistic_regression,external_predictors_only__logistic_regression,0.0035220381837968995,-0.11603579266478208,0.15085702135477777,20
