cohort_name,source_name,source_type,kind,preset,path,url,has_file_fingerprint,has_provenance
public_brca_training,clinvar_variant_summary,file,cohort,clinvar_variant_summary,data/raw/clinvar/brca_missense_variant_summary.tsv,,True,True
public_brca_training,gnomad_brca_annotations,file,annotation,gnomad_variant_table,data/raw/gnomad/brca_missense_annotations.tsv,,True,True
public_brca_training,mavedb_brca_scores,file,annotation,mavedb_score_table,data/raw/mavedb/brca_function_scores.csv,,True,True
clinvar_expert_external_validation_brca1,clinvar_expert_validation_brca1,file,cohort,clinvar_variant_summary,data/raw/clinvar/brca_missense_expert_external_brca1.tsv,,True,True
clinvar_expert_external_validation_brca1,gnomad_validation_annotations,file,annotation,gnomad_variant_table,data/raw/gnomad/brca_missense_annotations.tsv,,True,True
clinvar_expert_external_validation_brca1,mavedb_validation_scores,file,annotation,mavedb_score_table,data/raw/mavedb/brca_function_scores.csv,,True,True
clinvar_expert_external_validation_brca2,clinvar_expert_validation_brca2,file,cohort,clinvar_variant_summary,data/raw/clinvar/brca_missense_expert_external_brca2.tsv,,True,True
clinvar_expert_external_validation_brca2,gnomad_validation_annotations,file,annotation,gnomad_variant_table,data/raw/gnomad/brca_missense_annotations.tsv,,True,True
clinvar_expert_external_validation_brca2,mavedb_validation_scores,file,annotation,mavedb_score_table,data/raw/mavedb/brca_function_scores.csv,,True,True
bridges_like_external_validation_brca1,bridges_like_validation_brca1,file,cohort,clinvar_variant_summary,data/raw/brca_exchange/brca_exchange_lovd_external_brca1.tsv,,True,True
bridges_like_external_validation_brca1,gnomad_validation_annotations,file,annotation,gnomad_variant_table,data/raw/gnomad/brca_missense_annotations.tsv,,True,True
bridges_like_external_validation_brca1,mavedb_validation_scores,file,annotation,mavedb_score_table,data/raw/mavedb/brca_function_scores.csv,,True,True
bridges_like_external_validation_brca2,bridges_like_validation_brca2,file,cohort,clinvar_variant_summary,data/raw/brca_exchange/brca_exchange_lovd_external_brca2.tsv,,True,True
bridges_like_external_validation_brca2,gnomad_validation_annotations,file,annotation,gnomad_variant_table,data/raw/gnomad/brca_missense_annotations.tsv,,True,True
bridges_like_external_validation_brca2,mavedb_validation_scores,file,annotation,mavedb_score_table,data/raw/mavedb/brca_function_scores.csv,,True,True
