cohort_name,cohort_role,source_name,kind,source_type,preset,recognized_public_source,resolved_path,path_exists,uses_example_path,uses_raw_data_path,release_value,has_placeholder_release,has_concrete_release,ready_for_real_data_source,source_real_data_percent,recommended_action
public_brca_training,train,clinvar_variant_summary,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\clinvar\brca_missense_variant_summary.tsv,True,False,True,2026-04-03,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
public_brca_training,train,gnomad_brca_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\brca_missense_annotations.tsv,True,False,True,gnomad_r4_graphql_2026-04-16,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
public_brca_training,train,mavedb_brca_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\brca_function_scores.csv,True,False,True,mavedb-dump.20260206153444,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
clinvar_expert_external_validation_brca1,external_test,clinvar_expert_validation_brca1,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\clinvar\brca_missense_expert_external_brca1.tsv,True,False,True,2026-04-03,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
clinvar_expert_external_validation_brca1,external_test,gnomad_validation_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\brca_missense_annotations.tsv,True,False,True,gnomad_r4_graphql_2026-04-16,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
clinvar_expert_external_validation_brca1,external_test,mavedb_validation_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\brca_function_scores.csv,True,False,True,mavedb-dump.20260206153444,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
clinvar_expert_external_validation_brca2,external_test,clinvar_expert_validation_brca2,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\clinvar\brca_missense_expert_external_brca2.tsv,True,False,True,2026-04-03,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
clinvar_expert_external_validation_brca2,external_test,gnomad_validation_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\brca_missense_annotations.tsv,True,False,True,gnomad_r4_graphql_2026-04-16,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
clinvar_expert_external_validation_brca2,external_test,mavedb_validation_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\brca_function_scores.csv,True,False,True,mavedb-dump.20260206153444,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
bridges_like_external_validation_brca1,external_test,bridges_like_validation_brca1,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\brca_exchange\brca_exchange_lovd_external_brca1.tsv,True,False,True,2026-01-05,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
bridges_like_external_validation_brca1,external_test,gnomad_validation_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\brca_missense_annotations.tsv,True,False,True,gnomad_r4_graphql_2026-04-16,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
bridges_like_external_validation_brca1,external_test,mavedb_validation_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\brca_function_scores.csv,True,False,True,mavedb-dump.20260206153444,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
bridges_like_external_validation_brca2,external_test,bridges_like_validation_brca2,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\brca_exchange\brca_exchange_lovd_external_brca2.tsv,True,False,True,2026-01-05,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
bridges_like_external_validation_brca2,external_test,gnomad_validation_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\brca_missense_annotations.tsv,True,False,True,gnomad_r4_graphql_2026-04-16,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
bridges_like_external_validation_brca2,external_test,mavedb_validation_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\brca_function_scores.csv,True,False,True,mavedb-dump.20260206153444,False,True,True,100,Fonte apta para congelamento cientifico da coorte.
