consensus_experiment,member_rank,member_experiment,cohort,cohort_role
consensus_top3,1,hybrid_plus_external__logistic_regression,clinvar_expert_external_validation_brca1,external_test
consensus_top3,2,hybrid__logistic_regression,clinvar_expert_external_validation_brca1,external_test
consensus_top3,3,hybrid_plus_conservation__logistic_regression,clinvar_expert_external_validation_brca1,external_test
consensus_top3,1,hybrid_plus_external__logistic_regression,clinvar_expert_external_validation_brca2,external_test
consensus_top3,2,hybrid__logistic_regression,clinvar_expert_external_validation_brca2,external_test
consensus_top3,3,hybrid_plus_conservation__logistic_regression,clinvar_expert_external_validation_brca2,external_test
consensus_top3,1,hybrid_plus_external__logistic_regression,bridges_like_external_validation_brca1,external_test
consensus_top3,2,hybrid__logistic_regression,bridges_like_external_validation_brca1,external_test
consensus_top3,3,hybrid_plus_conservation__logistic_regression,bridges_like_external_validation_brca1,external_test
consensus_top3,1,hybrid_plus_external__logistic_regression,bridges_like_external_validation_brca2,external_test
consensus_top3,2,hybrid__logistic_regression,bridges_like_external_validation_brca2,external_test
consensus_top3,3,hybrid_plus_conservation__logistic_regression,bridges_like_external_validation_brca2,external_test
