feature,importance_mean,importance_std
gene,0.07412379895993888,0.009888795755353712
prime_mod_30_transition,0.03414194961033716,0.005841380054636192
conservative_class_change,0.03145896656534945,0.006075301194766178
prime_sophie_transition,0.031049136403578183,0.004743285134250062
prime_sophie_germain_ref,0.02977859087569674,0.004649897029095106
hydro_class_ref,0.0250478975496621,0.004990219126888068
prime_is_increase,0.024921851366340553,0.0038433682174028247
aa_ref,0.024658955041126973,0.0022121137345872195
prime_twin_alt,0.01609429695040252,0.005013298848608964
charge_abs_diff,0.01588037857070821,0.004448289230999325
mass_ref,0.014435529177890682,0.0033345213144650022
position,0.012809173281090103,0.0022144465431544968
aa_alt,0.01203560984744798,0.0017310415767805131
prime_mod_6_ref,0.011970786096025499,0.0020102073957127473
prime_gap_before_ref,0.01145003529293125,0.0020045089399858915
