cohort,score_type,bin_index,bin_low,bin_high,n,mean_predicted,observed_rate,absolute_gap
bridges_like_external_validation_brca1,baseline,1,0.0,0.1,0,,,
bridges_like_external_validation_brca1,baseline,2,0.1,0.2,0,,,
bridges_like_external_validation_brca1,baseline,3,0.2,0.30000000000000004,0,,,
bridges_like_external_validation_brca1,baseline,4,0.30000000000000004,0.4,0,,,
bridges_like_external_validation_brca1,baseline,5,0.4,0.5,149,0.49885469182727116,0.11409395973154363,0.38476073209572753
bridges_like_external_validation_brca1,baseline,6,0.5,0.6000000000000001,19,0.5192528999529102,0.21052631578947367,0.30872658416343657
bridges_like_external_validation_brca1,baseline,7,0.6000000000000001,0.7000000000000001,0,,,
bridges_like_external_validation_brca1,baseline,8,0.7000000000000001,0.8,0,,,
bridges_like_external_validation_brca1,baseline,9,0.8,0.9,0,,,
bridges_like_external_validation_brca1,baseline,10,0.9,1.0,0,,,
bridges_like_external_validation_brca1,calibrated_candidate,1,0.0,0.1,68,0.04465203147244374,0.11764705882352941,0.07299502735108568
bridges_like_external_validation_brca1,calibrated_candidate,2,0.1,0.2,53,0.14599224304475125,0.11320754716981132,0.03278469587493993
bridges_like_external_validation_brca1,calibrated_candidate,3,0.2,0.30000000000000004,15,0.2241886511061642,0.2,0.024188651106164194
bridges_like_external_validation_brca1,calibrated_candidate,4,0.30000000000000004,0.4,6,0.35932400575204726,0.0,0.35932400575204726
bridges_like_external_validation_brca1,calibrated_candidate,5,0.4,0.5,11,0.4364203357455034,0.09090909090909091,0.3455112448364125
bridges_like_external_validation_brca1,calibrated_candidate,6,0.5,0.6000000000000001,5,0.5415201964644848,0.4,0.14152019646448477
bridges_like_external_validation_brca1,calibrated_candidate,7,0.6000000000000001,0.7000000000000001,3,0.6734398794479555,0.0,0.6734398794479555
bridges_like_external_validation_brca1,calibrated_candidate,8,0.7000000000000001,0.8,1,0.7309869251909137,0.0,0.7309869251909137
bridges_like_external_validation_brca1,calibrated_candidate,9,0.8,0.9,5,0.8648685031304275,0.2,0.6648685031304276
bridges_like_external_validation_brca1,calibrated_candidate,10,0.9,1.0,1,0.95485128081251,0.0,0.95485128081251
bridges_like_external_validation_brca1,raw_candidate,1,0.0,0.1,22,0.055124848164305386,0.045454545454545456,0.00967030270975993
bridges_like_external_validation_brca1,raw_candidate,2,0.1,0.2,12,0.1448215294038502,0.08333333333333333,0.06148819607051688
bridges_like_external_validation_brca1,raw_candidate,3,0.2,0.30000000000000004,12,0.26129643471451597,0.16666666666666666,0.09462976804784931
bridges_like_external_validation_brca1,raw_candidate,4,0.30000000000000004,0.4,23,0.3501804116346572,0.17391304347826086,0.17626736815639632
bridges_like_external_validation_brca1,raw_candidate,5,0.4,0.5,28,0.4518815807510231,0.14285714285714285,0.30902443789388023
bridges_like_external_validation_brca1,raw_candidate,6,0.5,0.6000000000000001,25,0.560690974461333,0.08,0.48069097446133296
bridges_like_external_validation_brca1,raw_candidate,7,0.6000000000000001,0.7000000000000001,14,0.6333019964777182,0.21428571428571427,0.41901628219200393
bridges_like_external_validation_brca1,raw_candidate,8,0.7000000000000001,0.8,6,0.7682789641143489,0.0,0.7682789641143489
bridges_like_external_validation_brca1,raw_candidate,9,0.8,0.9,16,0.838248219944641,0.1875,0.650748219944641
bridges_like_external_validation_brca1,raw_candidate,10,0.9,1.0,10,0.9579580285640873,0.1,0.8579580285640873
bridges_like_external_validation_brca2,baseline,1,0.0,0.1,0,,,
bridges_like_external_validation_brca2,baseline,2,0.1,0.2,0,,,
bridges_like_external_validation_brca2,baseline,3,0.2,0.30000000000000004,0,,,
bridges_like_external_validation_brca2,baseline,4,0.30000000000000004,0.4,1,0.3880553999192224,0.0,0.3880553999192224
bridges_like_external_validation_brca2,baseline,5,0.4,0.5,210,0.49845427455802227,0.07142857142857142,0.4270257031294509
bridges_like_external_validation_brca2,baseline,6,0.5,0.6000000000000001,78,0.528252716068651,0.0,0.528252716068651
bridges_like_external_validation_brca2,baseline,7,0.6000000000000001,0.7000000000000001,0,,,
bridges_like_external_validation_brca2,baseline,8,0.7000000000000001,0.8,0,,,
bridges_like_external_validation_brca2,baseline,9,0.8,0.9,0,,,
bridges_like_external_validation_brca2,baseline,10,0.9,1.0,0,,,
bridges_like_external_validation_brca2,calibrated_candidate,1,0.0,0.1,228,0.029413270848005078,0.03070175438596491,0.001288483537959833
bridges_like_external_validation_brca2,calibrated_candidate,2,0.1,0.2,34,0.14286312305806814,0.11764705882352941,0.025216064234538732
bridges_like_external_validation_brca2,calibrated_candidate,3,0.2,0.30000000000000004,12,0.23268577279926797,0.08333333333333333,0.14935243946593463
bridges_like_external_validation_brca2,calibrated_candidate,4,0.30000000000000004,0.4,9,0.3556008843707249,0.2222222222222222,0.1333786621485027
bridges_like_external_validation_brca2,calibrated_candidate,5,0.4,0.5,4,0.4334501030376771,0.25,0.18345010303767711
bridges_like_external_validation_brca2,calibrated_candidate,6,0.5,0.6000000000000001,1,0.5464810357023373,0.0,0.5464810357023373
bridges_like_external_validation_brca2,calibrated_candidate,7,0.6000000000000001,0.7000000000000001,0,,,
bridges_like_external_validation_brca2,calibrated_candidate,8,0.7000000000000001,0.8,1,0.7100072684784599,0.0,0.7100072684784599
bridges_like_external_validation_brca2,calibrated_candidate,9,0.8,0.9,0,,,
bridges_like_external_validation_brca2,calibrated_candidate,10,0.9,1.0,0,,,
bridges_like_external_validation_brca2,raw_candidate,1,0.0,0.1,106,0.04090832202980242,0.018867924528301886,0.022040397501500535
bridges_like_external_validation_brca2,raw_candidate,2,0.1,0.2,74,0.14789921750225857,0.02702702702702703,0.12087219047523154
bridges_like_external_validation_brca2,raw_candidate,3,0.2,0.30000000000000004,35,0.2448900649970197,0.08571428571428572,0.159175779282734
bridges_like_external_validation_brca2,raw_candidate,4,0.30000000000000004,0.4,22,0.34889633248814067,0.0,0.34889633248814067
bridges_like_external_validation_brca2,raw_candidate,5,0.4,0.5,17,0.45204912116837964,0.23529411764705882,0.21675500352132082
bridges_like_external_validation_brca2,raw_candidate,6,0.5,0.6000000000000001,15,0.5514309005885387,0.06666666666666667,0.48476423392187207
bridges_like_external_validation_brca2,raw_candidate,7,0.6000000000000001,0.7000000000000001,5,0.6432168904934381,0.0,0.6432168904934381
bridges_like_external_validation_brca2,raw_candidate,8,0.7000000000000001,0.8,12,0.7470446489338866,0.25,0.49704464893388656
bridges_like_external_validation_brca2,raw_candidate,9,0.8,0.9,2,0.8346689349226428,0.0,0.8346689349226428
bridges_like_external_validation_brca2,raw_candidate,10,0.9,1.0,1,0.9246996945827816,0.0,0.9246996945827816
clinvar_expert_external_validation_brca1,baseline,1,0.0,0.1,5,0.01648203103924924,0.0,0.01648203103924924
clinvar_expert_external_validation_brca1,baseline,2,0.1,0.2,3,0.13706506032866542,0.0,0.13706506032866542
clinvar_expert_external_validation_brca1,baseline,3,0.2,0.30000000000000004,1,0.2115075567429231,0.0,0.2115075567429231
clinvar_expert_external_validation_brca1,baseline,4,0.30000000000000004,0.4,6,0.33491367488843843,0.0,0.33491367488843843
clinvar_expert_external_validation_brca1,baseline,5,0.4,0.5,157,0.4912187784599136,0.35668789808917195,0.13453088037074162
clinvar_expert_external_validation_brca1,baseline,6,0.5,0.6000000000000001,31,0.5265530485568769,0.3870967741935484,0.13945627436332853
