cohort,score_type,threshold,accuracy,mcc,sensitivity,specificity,tp,fp,fn,tn
bridges_like_external_validation_brca1,baseline,0.49999999999999994,0.8095238095238095,0.09234734153247869,0.19047619047619047,0.8979591836734694,4,15,17,132
bridges_like_external_validation_brca1,calibrated_candidate,0.05,0.32142857142857145,0.11400758990077137,0.9047619047619048,0.23809523809523808,19,112,2,35
bridges_like_external_validation_brca1,raw_candidate,0.85,0.8273809523809523,0.12262786789699315,0.19047619047619047,0.9183673469387755,4,12,17,135
bridges_like_external_validation_brca2,baseline,0.44999999999999996,0.06228373702422145,0.023963373614188842,1.0,0.010948905109489052,15,271,0,3
bridges_like_external_validation_brca2,calibrated_candidate,0.1,0.7923875432525952,0.18477497584235775,0.5333333333333333,0.8065693430656934,8,53,7,221
bridges_like_external_validation_brca2,raw_candidate,0.39999999999999997,0.8235294117647058,0.2152593425631901,0.5333333333333333,0.8394160583941606,8,44,7,230
clinvar_expert_external_validation_brca1,baseline,0.39999999999999997,0.4117647058823529,0.20140599270554793,1.0,0.1111111111111111,69,120,0,15
clinvar_expert_external_validation_brca1,calibrated_candidate,0.7,0.7647058823529411,0.44343848134986696,0.463768115942029,0.9185185185185185,32,11,37,124
clinvar_expert_external_validation_brca1,raw_candidate,0.75,0.7549019607843137,0.42954894413573247,0.5362318840579711,0.8666666666666667,37,18,32,117
clinvar_expert_external_validation_brca2,baseline,0.44999999999999996,0.45714285714285713,0.27374549550892213,0.9743589743589743,0.3088235294117647,38,94,1,42
clinvar_expert_external_validation_brca2,calibrated_candidate,0.44999999999999996,0.7942857142857143,0.39526843003281964,0.5128205128205128,0.875,20,17,19,119
clinvar_expert_external_validation_brca2,raw_candidate,0.5499999999999999,0.8,0.4068467678150463,0.5128205128205128,0.8823529411764706,20,16,19,120
