experiment,baseline_experiment,feature_set,is_prime_signal,cohort,metric,candidate_value,baseline_value,delta_value,win,no_regression,substantial_loss
hybrid_plus_external,external_predictors_only,hybrid_plus_external,True,bridges_like_external_validation,auc_roc,1.0,1.0,0.0,False,True,False
hybrid_plus_external,external_predictors_only,hybrid_plus_external,True,bridges_like_external_validation,auc_pr,1.0,1.0,0.0,False,True,False
hybrid_plus_external,external_predictors_only,hybrid_plus_external,True,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
hybrid_plus_conservation,external_predictors_only,hybrid_plus_conservation,True,bridges_like_external_validation,auc_roc,0.16666666666666666,1.0,-0.8333333333333334,False,False,True
hybrid_plus_conservation,external_predictors_only,hybrid_plus_conservation,True,bridges_like_external_validation,auc_pr,0.6388888888888888,1.0,-0.36111111111111116,False,False,True
hybrid_plus_conservation,external_predictors_only,hybrid_plus_conservation,True,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
hybrid_plus_conservation_structure,external_predictors_only,hybrid_plus_conservation_structure,True,bridges_like_external_validation,auc_roc,0.16666666666666666,1.0,-0.8333333333333334,False,False,True
hybrid_plus_conservation_structure,external_predictors_only,hybrid_plus_conservation_structure,True,bridges_like_external_validation,auc_pr,0.6666666666666666,1.0,-0.33333333333333337,False,False,True
hybrid_plus_conservation_structure,external_predictors_only,hybrid_plus_conservation_structure,True,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
hybrid,external_predictors_only,hybrid,True,bridges_like_external_validation,auc_roc,0.0,1.0,-1.0,False,False,True
hybrid,external_predictors_only,hybrid,True,bridges_like_external_validation,auc_pr,0.6666666666666666,1.0,-0.33333333333333337,False,False,True
hybrid,external_predictors_only,hybrid,True,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
prime_only,external_predictors_only,prime_only,True,bridges_like_external_validation,auc_roc,0.0,1.0,-1.0,False,False,True
prime_only,external_predictors_only,prime_only,True,bridges_like_external_validation,auc_pr,0.6388888888888888,1.0,-0.36111111111111116,False,False,True
prime_only,external_predictors_only,prime_only,True,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
consensus_top3,external_predictors_only,consensus_top3,False,bridges_like_external_validation,auc_roc,1.0,1.0,0.0,False,True,False
consensus_top3,external_predictors_only,consensus_top3,False,bridges_like_external_validation,auc_pr,1.0,1.0,0.0,False,True,False
consensus_top3,external_predictors_only,consensus_top3,False,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
biochemical_only,external_predictors_only,biochemical_only,False,bridges_like_external_validation,auc_roc,0.3333333333333333,1.0,-0.6666666666666667,False,False,True
biochemical_only,external_predictors_only,biochemical_only,False,bridges_like_external_validation,auc_pr,0.8055555555555556,1.0,-0.19444444444444442,False,False,True
biochemical_only,external_predictors_only,biochemical_only,False,bridges_like_external_validation,mcc,0.0,1.0,-1.0,False,False,True
