cohort,cohort_role,evaluation_group,experiment,feature_set,model_family,is_primary_experiment,n_features,auc_roc,auc_pr,accuracy,sensitivity,specificity,mcc,precision_at_0_5,recall_at_0_5,tp,fp,fn,tn,n_variants
bridges_like_external_validation,external_test,BRCA1,external_predictors_only,external_predictors_only,random_forest,1,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,2
bridges_like_external_validation,external_test,BRCA1,biochemical_only,biochemical_only,random_forest,1,28,1.0,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA1,hybrid_plus_external,hybrid_plus_external,random_forest,1,67,1.0,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA1,consensus_top3,consensus,ensemble_mean,0,3,1.0,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA1,hybrid_plus_conservation,hybrid_plus_conservation,random_forest,1,46,0.5,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA1,hybrid_plus_conservation_structure,hybrid_plus_conservation_structure,random_forest,1,55,0.5,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA1,hybrid,hybrid,random_forest,1,41,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA1,prime_only,prime_only,random_forest,1,15,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1,1,0,0,2
bridges_like_external_validation,external_test,BRCA2,biochemical_only,biochemical_only,random_forest,1,28,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,external_predictors_only,external_predictors_only,random_forest,1,12,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,hybrid,hybrid,random_forest,1,41,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,hybrid_plus_conservation,hybrid_plus_conservation,random_forest,1,46,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,hybrid_plus_conservation_structure,hybrid_plus_conservation_structure,random_forest,1,55,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,hybrid_plus_external,hybrid_plus_external,random_forest,1,67,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,prime_only,prime_only,random_forest,1,15,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,BRCA2,consensus_top3,consensus,ensemble_mean,0,3,,,1.0,1.0,,,1.0,1.0,2,0,0,0,2
bridges_like_external_validation,external_test,combined,external_predictors_only,external_predictors_only,random_forest,1,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,0,1,4
bridges_like_external_validation,external_test,combined,hybrid_plus_external,hybrid_plus_external,random_forest,1,67,1.0,1.0,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
bridges_like_external_validation,external_test,combined,consensus_top3,consensus,ensemble_mean,0,3,1.0,1.0,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
bridges_like_external_validation,external_test,combined,biochemical_only,biochemical_only,random_forest,1,28,0.3333333333333333,0.8055555555555556,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
bridges_like_external_validation,external_test,combined,hybrid_plus_conservation_structure,hybrid_plus_conservation_structure,random_forest,1,55,0.16666666666666666,0.6666666666666666,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
bridges_like_external_validation,external_test,combined,hybrid_plus_conservation,hybrid_plus_conservation,random_forest,1,46,0.16666666666666666,0.6388888888888888,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
bridges_like_external_validation,external_test,combined,hybrid,hybrid,random_forest,1,41,0.0,0.6666666666666666,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
bridges_like_external_validation,external_test,combined,prime_only,prime_only,random_forest,1,15,0.0,0.6388888888888888,0.75,1.0,0.0,0.0,0.75,1.0,3,1,0,0,4
