model_request_id,qiskit_nature_vqe_template_path,pennylane_vqe_template_path,openfermion_vqe_template_path
BRCA1_pLeu4Gln,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu4Gln.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu4Gln.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu4Gln.openfermion_vqe_plan.py
BRCA1_pLeu82Glu,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu82Glu.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu82Glu.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu82Glu.openfermion_vqe_plan.py
BRCA1_pLeu100Asp,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu100Asp.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu100Asp.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu100Asp.openfermion_vqe_plan.py
BRCA1_pLeu4Asp,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu4Asp.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu4Asp.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu4Asp.openfermion_vqe_plan.py
BRCA1_pLeu82Lys,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu82Lys.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu82Lys.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu82Lys.openfermion_vqe_plan.py
BRCA1_pLeu22Glu,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu22Glu.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu22Glu.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu22Glu.openfermion_vqe_plan.py
BRCA1_pLeu30His,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu30His.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu30His.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu30His.openfermion_vqe_plan.py
BRCA1_pLeu22His,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu22His.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu22His.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pLeu22His.openfermion_vqe_plan.py
BRCA1_pVal11Asp,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal11Asp.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal11Asp.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal11Asp.openfermion_vqe_plan.py
BRCA1_pVal41Asp,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal41Asp.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal41Asp.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal41Asp.openfermion_vqe_plan.py
BRCA1_pVal42Glu,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal42Glu.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal42Glu.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal42Glu.openfermion_vqe_plan.py
BRCA1_pVal11Glu,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal11Glu.qiskit_nature_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal11Glu.pennylane_vqe.py,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_quantum_proteomics_results\vqe_job_templates\BRCA1_pVal11Glu.openfermion_vqe_plan.py
