criterion_id,title,weight,score_percent,status,passed,critical,evidence,next_step
cohort_design,Cohort design and labels,1.0,100,ready,True,True,"1 cohort(s) de treino, 1 coorte(s) externas e 100% das coortes com pelo menos duas classes.",Garantir exatamente uma coorte de treino e ampliar coortes externas rotuladas quando necessario.
data_versioning,Data versioning and manifests,1.15,100,ready,True,True,100% das coortes com data release manifest e 100% com fingerprint do dataset integrado.,Assegurar manifests e fingerprints para todas as coortes usadas no estudo.
public_source_traceability,Public source traceability,1.1,72,partial,False,True,"Media de release=45%, schema=100% e catalog readiness=72%.",Completar tracking de release e cobertura estrutural das fontes publicas reais por coorte.
cohort_independence,Cohort independence,1.2,100,ready,True,True,Independencia global em 100% com max overlap treino/externo=0%.,Eliminar sobreposicao de variantes entre treino e validacao externa antes da submissao final.
real_data_freeze,Real-data cohort freeze,1.15,19,gap,False,True,Freeze de coortes em 19% com 2 coorte(s) ainda bloqueadas por demo/example.,Substituir datasets de exemplo por coortes reais versionadas antes da submissao final.
internal_validation,Internal validation package,0.9,75,partial,False,False,"Training metrics=100%, repeated holdout=0%, gene-stratified metrics=100% e model registry=100%.","Manter repeated holdout, modelos versionados e analise gene-estratificada em toda release."
external_validation,External validation coverage,1.2,100,ready,True,True,100% das coortes externas com metrica combinada e 100% com comparacao pareada AUC-ROC.,Executar validacao externa para todas as coortes planejadas e preservar comparacoes pareadas.
comparative_evidence,Comparative evidence strength,1.35,25,gap,False,True,"0% das coortes com ganho suportado, 0% com ganho positivo e melhor experimento consensus_top3.",Rodar o benchmark em dados reais e buscar ganho consistente contra o baseline declarado.
claim_strength,Claim strength and framing,1.2,37,gap,False,True,Claim tier insufficient em 37% para hybrid_plus_external vs external_predictors_only.,Fortalecer a alegacao central do estudo ate um tier moderado ou forte antes da submissao.
artifact_package,Artifact package completeness,0.9,100,ready,True,True,100% dos artefatos centrais do estudo foram materializados no output final.,"Garantir que tabelas, dossie e manifestos sejam exportados em toda execucao de estudo."
