gene,rollout_phase,artifact,path,status
TP53,phase_1_immediate,training_clinvar_like,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\tp53\tp53_clinvar_training.tsv,placeholder_created
TP53,phase_1_immediate,external_clinical,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\tp53\tp53_clinical_external.tsv,placeholder_created
TP53,phase_1_immediate,external_secondary,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\tp53\tp53_secondary_external.tsv,placeholder_created
TP53,phase_1_immediate,gnomad_annotations,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\tp53_missense_annotations.tsv,placeholder_created
TP53,phase_1_immediate,mavedb_scores,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\tp53_function_scores.csv,placeholder_created
GCK,phase_2_expansion,training_clinvar_like,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\gck\gck_clinvar_training.tsv,placeholder_created
GCK,phase_2_expansion,external_clinical,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\gck\gck_clinical_external.tsv,placeholder_created
GCK,phase_2_expansion,external_secondary,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\gck\gck_secondary_external.tsv,placeholder_created
GCK,phase_2_expansion,gnomad_annotations,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\gck_missense_annotations.tsv,placeholder_created
GCK,phase_2_expansion,mavedb_scores,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\gck_function_scores.csv,placeholder_created
PTEN,phase_2_expansion,training_clinvar_like,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\pten\pten_clinvar_training.tsv,placeholder_created
PTEN,phase_2_expansion,external_clinical,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\pten\pten_clinical_external.tsv,placeholder_created
PTEN,phase_2_expansion,external_secondary,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\pten\pten_secondary_external.tsv,placeholder_created
PTEN,phase_2_expansion,gnomad_annotations,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\pten_missense_annotations.tsv,placeholder_created
PTEN,phase_2_expansion,mavedb_scores,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\pten_function_scores.csv,placeholder_created
MSH2,phase_2_expansion,training_clinvar_like,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\msh2\msh2_clinvar_training.tsv,placeholder_created
MSH2,phase_2_expansion,external_clinical,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\msh2\msh2_clinical_external.tsv,placeholder_created
MSH2,phase_2_expansion,external_secondary,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\msh2\msh2_secondary_external.tsv,placeholder_created
MSH2,phase_2_expansion,gnomad_annotations,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\msh2_missense_annotations.tsv,placeholder_created
MSH2,phase_2_expansion,mavedb_scores,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\msh2_function_scores.csv,placeholder_created
F9,phase_2_expansion,training_clinvar_like,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\f9\f9_clinvar_training.tsv,placeholder_created
F9,phase_2_expansion,external_clinical,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\f9\f9_clinical_external.tsv,placeholder_created
F9,phase_2_expansion,external_secondary,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\f9\f9_secondary_external.tsv,placeholder_created
F9,phase_2_expansion,gnomad_annotations,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\f9_missense_annotations.tsv,placeholder_created
F9,phase_2_expansion,mavedb_scores,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\f9_function_scores.csv,placeholder_created
KRAS,phase_2_expansion,training_clinvar_like,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\kras\kras_clinvar_training.tsv,placeholder_created
KRAS,phase_2_expansion,external_clinical,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\kras\kras_clinical_external.tsv,placeholder_created
KRAS,phase_2_expansion,external_secondary,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\multigene\kras\kras_secondary_external.tsv,placeholder_created
KRAS,phase_2_expansion,gnomad_annotations,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\gnomad\kras_missense_annotations.tsv,placeholder_created
KRAS,phase_2_expansion,mavedb_scores,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\kras_function_scores.csv,placeholder_created
