area,status,percent,evidence_path,next_action
BRCA real benchmark,started_with_real_results,82,primevarclass_jovem_cientista_evidence_20260510/brca_real_quick/study_summary_report.txt,Run full random_forest/extra_trees campaign with higher bootstrap
BRCA cohort independence,complete,100,primevarclass_jovem_cientista_evidence_20260510/brca_real_quick/cohort_independence_report.md,Preserve frozen split and reuse in paper
BRCA real cohort freeze,complete,100,primevarclass_jovem_cientista_evidence_20260510/brca_real_quick/study_cohort_freeze_report.md,Attach manifest to supplemental package
Multigene external validation,active_needs_strengthening,78,primevarclass_multigene_real_benchmark_results/multigene_real_benchmark_report.md,Add final per-gene reruns and rebalance PTEN/KRAS
Independent public source autostage,complete,100,primevarclass_jovem_cientista_evidence_20260510/independent_public_sources/independent_open_source_autostage_manifest.json,Keep cached and versioned
Independent staging closure,strong_but_not_final,94,primevarclass_jovem_cientista_evidence_20260510/independent_staging_closure/independent_data_staging_closure_report.md,Complete MaveDB and AlphaMissense
Line-level real data execution,strong_but_not_final,98,primevarclass_jovem_cientista_evidence_20260510/public_sync_closure_refresh/public_sync_closure_report.md,Complete VRS reconciliation and AlphaMissense subset
Functional and structural confirmation,planned_lab_required,68,primevarclass_prospective_validation_closure_results/functional_structural_confirmation_queue.csv,Prioritize top variants for partner-lab validation
Web pilot readiness,ready_for_controlled_launch,100,primevarclass_launch_readiness_results/launch_readiness_report.md,Launch private staging after evidence package review
Competition dossier,created,84,primevarclass_jovem_cientista_evidence_20260510/evidence_campaign_report.md,Add final figures and concise impact narrative
BRCA1 LOVD error analysis,complete,100,primevarclass_jovem_cientista_evidence_20260510/brca1_lovd_error_analysis/brca1_lovd_error_analysis.md,Use top errors for AlphaMissense and structural review
Public sync closure,complete,99,primevarclass_jovem_cientista_evidence_20260510/public_sync_closure_refresh/public_sync_closure_report.md,Preserve cache and include queue in supplement
Validation credibility refresh,strong_but_not_final,88,primevarclass_jovem_cientista_evidence_20260510/validation_credibility_refresh/validation_credibility_closure_report.md,Run independent prospective benchmark and wet-lab confirmation
Prospective validation package,ready_for_partner_handoff,88,primevarclass_jovem_cientista_evidence_20260510/prospective_validation_refresh/prospective_validation_protocol.md,Send prioritized queue to experimental collaborators
AlphaMissense subset,planned_safe_subset,60,primevarclass_jovem_cientista_evidence_20260510/alphamissense_subset_plan/alphamissense_subset_plan.md,Generate target-gene subset without downloading the full massive file interactively
