gene,source_id,display_name,evidence_lane,recommended_for_gene,recommended_use,join_on,readiness_percent,next_step
BRCA1,clinvar,ClinVar,clinical_labels,True,training_and_external_holdout,"gene,hgvs_p",99,stage_as_annotation_or_context
BRCA1,clingen_erepo,ClinGen Evidence Repository,expert_curation,True,independent_validation,"gene,hgvs_p",99,stage_source_and_include_in_benchmark
BRCA1,brca_exchange_enigma,BRCA Exchange / ENIGMA,expert_brca_curation,True,brca_external_validation,"gene,hgvs_p",88,stage_source_and_include_in_benchmark
BRCA1,gnomad,gnomAD,population_frequency,True,annotation_and_calibration,"gene,hgvs_p",94,stage_as_annotation_or_context
BRCA1,mavedb,MaveDB,functional_assay,True,functional_validation,"gene,hgvs_p",99,stage_source_and_include_in_benchmark
BRCA1,alphamissense,AlphaMissense,external_predictor,True,baseline_comparator_and_disagreement_discovery,"gene,hgvs_p",94,stage_as_annotation_or_context
BRCA1,uniprot,UniProt,protein_context,True,protein_annotation,gene,99,stage_as_annotation_or_context
BRCA1,alphafold_db,AlphaFold DB,predicted_structure,True,structure_prior,gene,94,stage_as_annotation_or_context
BRCA1,pdb,RCSB PDB,experimental_structure,True,structural_validation_overlay,gene,94,stage_as_annotation_or_context
BRCA1,civic,CIViC,translational_oncology,True,translational_validation,"gene,hgvs_p",99,stage_as_annotation_or_context
BRCA1,cbioportal,cBioPortal Datahub,somatic_cancer_cohorts,True,cancer_context_external_validation,"gene,hgvs_p",94,stage_source_and_include_in_benchmark
BRCA1,gdc,NCI Genomic Data Commons,tcga_gdc_cancer_cohorts,True,open_cancer_context_validation,"gene,hgvs_p",86,stage_source_and_include_in_benchmark
BRCA1,gwas_catalog,GWAS Catalog,genetic_association,True,disease_trait_context,gene,95,stage_as_annotation_or_context
BRCA1,opentargets,Open Targets Platform,target_disease_evidence,True,translational_target_prioritization,gene,95,stage_as_annotation_or_context
BRCA1,pharmgkb,PharmGKB / ClinPGx,pharmacogenomics,True,drug_response_context,gene,95,stage_as_annotation_or_context
BRCA1,lovd,LOVD,locus_specific_variation,True,supplemental_external_validation,"gene,hgvs_p",84,stage_source_and_include_in_benchmark
BRCA2,clinvar,ClinVar,clinical_labels,True,training_and_external_holdout,"gene,hgvs_p",99,stage_as_annotation_or_context
BRCA2,clingen_erepo,ClinGen Evidence Repository,expert_curation,True,independent_validation,"gene,hgvs_p",99,stage_source_and_include_in_benchmark
BRCA2,brca_exchange_enigma,BRCA Exchange / ENIGMA,expert_brca_curation,True,brca_external_validation,"gene,hgvs_p",88,stage_source_and_include_in_benchmark
BRCA2,gnomad,gnomAD,population_frequency,True,annotation_and_calibration,"gene,hgvs_p",94,stage_as_annotation_or_context
BRCA2,mavedb,MaveDB,functional_assay,True,functional_validation,"gene,hgvs_p",99,stage_source_and_include_in_benchmark
BRCA2,alphamissense,AlphaMissense,external_predictor,True,baseline_comparator_and_disagreement_discovery,"gene,hgvs_p",94,stage_as_annotation_or_context
