source_id,display_name,evidence_lane,recommended_use,independence_role,source_kind,preset,format,access_level,automation_level,official_url,download_url_hint,local_stage_path,join_on,priority,validation_value,caveat,target_genes,supported_preset,readiness_percent,local_stage_exists,claim_safe_role,should_train_as_label,should_validate_independently
clinvar,ClinVar,clinical_labels,training_and_external_holdout,core clinical supervision plus release-frozen expert-panel holdout,cohort,clinvar_variant_summary,tsv,open_public,automatable,https://www.ncbi.nlm.nih.gov/clinvar/docs/downloads/,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/variant_summary.txt.gz,data/raw/clinvar/variant_summary.txt.gz,"gene,hgvs_p",critical,"Release-frozen clinical labels, review status, expert-panel separation, and prospective release cutoffs.",Avoid leakage: expert or newest releases should be locked away from training when used as validation.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,99,True,label_or_holdout,True,False
clingen_erepo,ClinGen Evidence Repository,expert_curation,independent_validation,FDA-recognized expert assertions for adjudication and holdout checks,cohort,clingen_erepo_table,tsv,open_public,automatable,https://erepo.clinicalgenome.org/evrepo/,https://erepo.genome.network/,data/raw/clingen_erepo/clingen_erepo_gene_panel.tsv,"gene,hgvs_p",critical,Independent expert assertions and provenance can verify whether PrimeVarClass generalizes beyond ClinVar-only labels.,"Use as external validation unless a deliberate, versioned training release is created.",BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,99,False,label_or_holdout,False,True
brca_exchange_enigma,BRCA Exchange / ENIGMA,expert_brca_curation,brca_external_validation,BRCA-specific expert adjudication and conflict resolution,cohort,enigma_brca,tsv,open_or_curated_public_release,manual_assisted,https://enigmaconsortium.org/,stage BRCA Exchange or ENIGMA-derived release file locally,data/raw/brca_exchange/brca_exchange_enigma_curated.tsv,"gene,hgvs_p",critical,Strong BRCA-specific independent expert source for the first high-impact disease area.,Confirm redistribution and release terms before bundling raw tables.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,88,True,label_or_holdout,False,True
gnomad,gnomAD,population_frequency,annotation_and_calibration,"population rarity, ancestry-aware frequency, and constraint control",annotation,gnomad_variant_table,tsv,open_public_with_large_files,semi_automatable,https://gnomad.broadinstitute.org/downloads,"use gene-filtered browser table, Hail table, or GraphQL/toolbox extraction",data/raw/gnomad/target_gene_missense_annotations.tsv,"gene,hgvs_p",critical,Population allele frequency is essential for pathogenicity calibration and rare-variant plausibility.,Full files are large; freeze release and ancestry fields before publication claims.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,94,True,annotation_or_mechanistic_evidence,False,False
mavedb,MaveDB,functional_assay,functional_validation,experimental variant-effect evidence for mechanism and calibration,annotation,mavedb_score_table,csv,open_public,automatable,https://www.mavedb.org/,"use public score-set CSVs, mapped variants, or bulk release dump",data/raw/mavedb/target_gene_function_scores.csv,"gene,hgvs_p",critical,Direct functional effect data helps discover mechanism and evaluate predictions beyond labels.,"Assays differ by gene, domain, and cellular context; benchmark by assay family when possible.",BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,99,True,annotation_or_mechanistic_evidence,False,True
alphamissense,AlphaMissense,external_predictor,baseline_comparator_and_disagreement_discovery,independent proteome-wide missense prior for comparator analyses,annotation,alphamissense_table,tsv,open_public_cc_by,semi_automatable,https://storage.googleapis.com/dm_alphamissense/README.pdf,stage AlphaMissense_hg38.tsv.gz or amino-acid substitution subset,data/raw/alphamissense/target_gene_alphamissense.tsv,"gene,hgvs_p",high,Useful for head-to-head comparison and cases where prime features disagree with a strong external predictor.,Do not use predictor scores as ground truth labels.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,94,False,annotation_or_mechanistic_evidence,False,False
uniprot,UniProt,protein_context,protein_annotation,"reviewed sequence, accession, domain, and function backbone",annotation,uniprot_feature_table,tsv,open_public,automatable,https://www.uniprot.org/api-documentation,REST reviewed human gene/accession export,data/raw/uniprot/target_gene_uniprot_features.tsv,gene,high,"Protein context anchors structural, proteomic, and quantum modules to stable accessions.",Freeze accession and isoform mapping for each benchmark release.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,99,False,annotation_or_mechanistic_evidence,False,False
alphafold_db,AlphaFold DB,predicted_structure,structure_prior,"3D model prior for residue environment, fragments, and quantum target selection",annotation,alphafold_model_table,tsv,open_public,semi_automatable,https://alphafold.ebi.ac.uk/,stage accession-specific model metadata and coordinate URLs,data/raw/alphafold/target_gene_alphafold_models.tsv,gene,high,Connects variant predictions to 3D residue neighborhoods and protein-fragment engines.,Predicted structures are not experimental validation; use PDB or lab confirmation when possible.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,94,False,annotation_or_mechanistic_evidence,False,False
pdb,RCSB PDB,experimental_structure,structural_validation_overlay,"experimental structural evidence around domains, interfaces, and ligands",annotation,pdb_structure_table,tsv,open_public,semi_automatable,https://www.rcsb.org/,stage Data API/Search API structure metadata by accession/gene,data/raw/pdb/target_gene_pdb_structures.tsv,gene,high,Experimental structures strengthen mechanistic interpretation and drug-discovery target selection.,Coverage can be fragmentary; require residue/domain overlap checks.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,94,False,annotation_or_mechanistic_evidence,False,False
civic,CIViC,translational_oncology,translational_validation,"curated disease, therapy, and evidence items for cancer variants",annotation,civic_variant_table,tsv,open_public_research_use,automatable,https://docs.civicdb.org/en/latest/using/data_releases.html,nightly or historical monthly TSV/VCF release,data/raw/civic/target_gene_civic_evidence.tsv,"gene,hgvs_p",high,Adds translational oncology actionability without turning actionability into a pathogenicity label.,Research use only; do not present as clinical medical advice.,BRCA1;BRCA2;TP53;PTEN;MSH2;KRAS;GCK;F9,True,99,False,annotation_or_mechanistic_evidence,False,False
