area_id,area,progress_percent,remaining_percent,status,evidence,next_gate
biological_discovery,Descoberta biologica,100,0,strong,Hotspots=2; hypotheses=878,Validar hotspots e hipoteses lideres com camadas funcionais ortogonais.
user_enablement,"Manual, glossario e feedback guiado",100,0,strong,"Manual, glossario, playbook de feedback e referencias UX foram publicados no hub de conhecimento em PT-BR/EN.","Expandir exemplos guiados, videos curtos, tutoriais por perfil e FAQ de troubleshooting."
product_public,Produto publico e operacao multiusuario,98,2,strong,"Workbench, perfis, times, jobs, feedback, seletor PT-BR/EN e hub de conhecimento estao disponiveis; ainda falta hardening de deploy publico.","Adicionar cadastro publico completo, convites, permissoes finas e deploy multiusuario endurecido."
translation,Impacto translacional e descoberta terapeutica,92,8,strong,Drug-discovery readiness=79.8%; BRCA1 engine execution=81%; xTB baseline fragments=2; paired mutant xTB=3; geometry QC=100%,"Ligar os alvos mecanisticos a ensaios de resgate, ligacao e priorizacao terapeutica."
prime_methodology,Metodologia de numeros primos,90,10,strong,Prime intelligence=83%; VQE support=100%,Expandir ablations prime-guided vs non-prime com Hamiltonianos reais e novos genes.
quantum_vqe,Modulo quantico e VQE,90,10,strong,Mean VQE readiness=87.4%; paired benchmark support=100%,Converter o benchmark proxy em benchmark fisico com fragmentos e Hamiltonianos revisados.
scientific_credibility,Validacao e credibilidade cientifica,90,10,strong,Scientific credibility=88%; prospective readiness=88%; experimental package=100%; handoff targets=24,Executar validacao prospectiva independente e confirmacao estrutural/funcional experimental com parceiro.
proteomics_structural,Proteomica e estrutura 3D,88,12,strong,Modeling queue=25; BRCA1 campaign=59%; engine execution=81%; fragment prep=100%; paired mutant xTB=3; geometry QC=100%,Revisar protonacao/dominio dos mutantes e executar DFT/OpenMM/Vina.
real_data_sync,Dados reais e sincronizacao publica,81,19,advancing,Continuous learning readiness=68%; row-level readiness=98%; public sync closure=99%,Executar/resumir a fila gnomAD ate substituir consultas capped por sync completo por release.
multigene_validation,Generalizacao multigenica,80,20,advancing,Overall multigene benchmark=70%; row-level annotation=98%,Completar full sync gnomAD/MaveDB e ampliar o painel alem dos 6 genes atuais.
