criterion_id,title,weight,score_percent,status,critical,evidence,next_step
resolved_public_inputs,Resolved public inputs,1.15,82,partial,True,2/2 coortes prontas e 0 com fontes publicas totalmente resolvidas. Handoff=100% com 6 tarefa(s) abertas.,Concluir a resolucao das coortes e garantir staging/referencias congeladas para as fontes publicas.
resolved_preflight,Resolved study preflight,1.05,94,ready,True,Preflight do estudo resolvido em 94% com 0 gaps criticos.,Subir o preflight do estudo resolvido ate um estado sem gaps criticos antes da rodada final.
cohort_independence,Cohort independence,1.0,100,ready,True,Independencia entre coortes em 100% com max overlap treino/externo de 0%.,Garantir independencia forte entre treino e validacao externa antes da rodada final.
real_data_freeze,Real-data cohort freeze,1.15,19,gap,True,Freeze real em 19% com 2 coorte(s) ainda presas a demo/example.,Congelar as coortes finais com dados reais versionados antes da rodada definitiva.
submission_evidence,Submission evidence package,1.35,71,partial,True,Publication readiness em 71% com status partial.,Fechar o publication readiness com resultados em coortes reais e manifests finais de submissao.
comparative_strength,Comparative evidence strength,1.3,25,gap,True,O criterio comparative_evidence do publication readiness marcou 25% contra o baseline declarado.,Buscar ganho consistente e estatisticamente defendivel contra os baselines em dados reais.
claim_strength,Claim strength,1.2,37,gap,True,Claim tier insufficient em 37%.,Elevar a forca da alegacao cientifica antes da rodada final de submissao.
baseline_ablation,Baseline and ablation coverage,0.95,79,partial,False,Coverage de baseline/ablation em 79% com melhor experimento primo hybrid_plus_external.,Preservar a comparacao completa de feature sets e baselines no pacote final do paper.
operational_package,Operational package completeness,0.85,100,ready,False,"100% dos artefatos operacionais centrais estao presentes (registry, dossier, methods, manuscript, release manifest).",Assegurar que o pacote operacional acompanhe cada benchmark final e release de estudo.
translational_readiness,Translational readiness,0.9,83,partial,False,Score translacional agregado em 83% com melhor experimento externo external_predictors_only.,Usar o benchmark final para sustentar piloto de laboratorio e narrativa de impacto translacional.
validation_lock,Validation lock status,1.0,69,partial,True,Validation lock em 69% com submission lock not yet.,Consolidar os locks cientificos ate um estado pronto para submissao.
