source_id,display_name,priority,evidence_lane,recommended_use,source_kind,preset,format,join_on,automation_level,official_url,download_url_hint,local_stage_path,staging_state,staging_status,staging_score_percent,file_count,significant_file_count,total_size_bytes,significant_size_bytes,best_local_path,target_gene_count,covered_genes,gene_coverage_percent,next_action
clinvar,ClinVar,critical,clinical_labels,training_and_external_holdout,cohort,clinvar_variant_summary,tsv,"gene,hgvs_p",automatable,https://www.ncbi.nlm.nih.gov/clinvar/docs/downloads/,https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/variant_summary.txt.gz,data/raw/clinvar/variant_summary.txt.gz,ready,ready,100,8,8,3898286756,3898286756,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\clinvar\variant_summary.txt,8,BRCA1;BRCA2;F9;GCK;KRAS;MSH2;PTEN;TP53,100,"Freeze file hash, row count, schema, and release before benchmark use."
clingen_erepo,ClinGen Evidence Repository,critical,expert_curation,independent_validation,cohort,clingen_erepo_table,tsv,"gene,hgvs_p",automatable,https://erepo.clinicalgenome.org/evrepo/,https://erepo.genome.network/,data/raw/clingen_erepo/clingen_erepo_gene_panel.tsv,ready,ready,100,1,1,29666864,29666864,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\clingen_erepo\clingen_erepo_classifications.tsv,8,,0,Export gene-filtered ClinGen ERepo classifications and keep them as an independent expert holdout.
brca_exchange_enigma,BRCA Exchange / ENIGMA,critical,expert_brca_curation,brca_external_validation,cohort,enigma_brca,tsv,"gene,hgvs_p",manual_assisted,https://enigmaconsortium.org/,stage BRCA Exchange or ENIGMA-derived release file locally,data/raw/brca_exchange/brca_exchange_enigma_curated.tsv,ready,ready,100,5,4,157753,157564,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\brca_exchange\brca_exchange_lovd_external.tsv,2,BRCA1;BRCA2,100,"Freeze file hash, row count, schema, and release before benchmark use."
gnomad,gnomAD,critical,population_frequency,annotation_and_calibration,annotation,gnomad_variant_table,tsv,"gene,hgvs_p",semi_automatable,https://gnomad.broadinstitute.org/downloads,"use gene-filtered browser table, Hail table, or GraphQL/toolbox extraction",data/raw/gnomad/target_gene_missense_annotations.tsv,ready,ready,100,12,4,5574248,5573178,C:\Users\Wesley Capucho\Documents\IA dos números primos\external_data\gnomad\gnomad_r4_target_genes\gnomad_gene_subset_variants.tsv,8,BRCA1;BRCA2;F9;GCK;KRAS;MSH2;PTEN;TP53,100,"Freeze file hash, row count, schema, and release before benchmark use."
mavedb,MaveDB,critical,functional_assay,functional_validation,annotation,mavedb_score_table,csv,"gene,hgvs_p",automatable,https://www.mavedb.org/,"use public score-set CSVs, mapped variants, or bulk release dump",data/raw/mavedb/target_gene_function_scores.csv,partial,partial,59,7,1,1263550,1263286,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\mavedb\brca_function_scores.csv,8,BRCA1;BRCA2,25,"Stage score sets for all target genes with MaveDB URNs, assay metadata, and mapped variant tables."
alphamissense,AlphaMissense,high,external_predictor,baseline_comparator_and_disagreement_discovery,annotation,alphamissense_table,tsv,"gene,hgvs_p",semi_automatable,https://storage.googleapis.com/dm_alphamissense/README.pdf,stage AlphaMissense_hg38.tsv.gz or amino-acid substitution subset,data/raw/alphamissense/target_gene_alphamissense.tsv,missing,missing,0,0,0,0,0,,8,,0,Stage this source from https://storage.googleapis.com/dm_alphamissense/README.pdf and lock provenance.
uniprot,UniProt,high,protein_context,protein_annotation,annotation,uniprot_feature_table,tsv,gene,automatable,https://www.uniprot.org/api-documentation,REST reviewed human gene/accession export,data/raw/uniprot/target_gene_uniprot_features.tsv,ready,ready,100,1,1,920,920,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\uniprot\target_gene_features.tsv,8,BRCA1;BRCA2;F9;GCK;KRAS;MSH2;PTEN;TP53,100,"Freeze file hash, row count, schema, and release before benchmark use."
alphafold_db,AlphaFold DB,high,predicted_structure,structure_prior,annotation,alphafold_model_table,tsv,gene,semi_automatable,https://alphafold.ebi.ac.uk/,stage accession-specific model metadata and coordinate URLs,data/raw/alphafold/target_gene_alphafold_models.tsv,ready,ready,100,1,1,1359,1359,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\alphafold\target_gene_models.tsv,8,BRCA1;F9;GCK;KRAS;MSH2;PTEN;TP53,88,"Freeze file hash, row count, schema, and release before benchmark use."
pdb,RCSB PDB,high,experimental_structure,structural_validation_overlay,annotation,pdb_structure_table,tsv,gene,semi_automatable,https://www.rcsb.org/,stage Data API/Search API structure metadata by accession/gene,data/raw/pdb/target_gene_pdb_structures.tsv,ready,ready,100,1,1,3645,3645,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\pdb\target_gene_structures.tsv,8,BRCA1;BRCA2;F9;GCK;KRAS;MSH2;PTEN;TP53,100,"Freeze file hash, row count, schema, and release before benchmark use."
civic,CIViC,high,translational_oncology,translational_validation,annotation,civic_variant_table,tsv,"gene,hgvs_p",automatable,https://docs.civicdb.org/en/latest/using/data_releases.html,nightly or historical monthly TSV/VCF release,data/raw/civic/target_gene_civic_evidence.tsv,ready,ready,100,1,1,4781,4781,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\raw\civic\target_gene_civic.tsv,8,BRCA1;BRCA2;F9;KRAS;MSH2;PTEN;TP53,88,"Freeze file hash, row count, schema, and release before benchmark use."
